School,Prof Rank,Real Salary,COLA Salary,,,,,
Amherst,Full,"155,833","142,275",,,,,
Bates,Full,"134,487","153,181",,,,,
Bowdoin,Full,"146,857","137,458",,,,,
Carleton,Full,"141,305","137,914",,,,,
Claremont McKenna,Full,"176,098","60,402",,,,,
Colby,Full,"145,971","177,063",,,,,
Colgate,Full,"151,654","175,008",,,,,
Davidson,Full,"134,729","112,095",,,,,
Furman,Full,"102,723","114,331",,,,,
Grinnell,Full,"139,558","168,586",,,,,
Hamilton,Full,"142,149","176,976",,,,,
Haverford,Full,"131,176","38,828",,,,,
Macalester,Full,"126,583","128,355",,,,,
Middlebury,Full,"140,387","144,318",,,,,
Oberlin,Full,"122,742","150,850",,,,,
Pomona,Full,"160,491","55,048",,,,,
Swarthmore,Full,"156,329","136,944",,,,,
Vassar,Full,"142,788","139,219",,,,,
Washington and Lee,Full,"143,853","164,424",,,,,
Wesleyan,Full,"158,455","154,335",,,,,
Williams,Full,"149,903","148,554",,,,,
Amherst,Assoc,"110,986","101,330",,,,,
Bates,Assoc,"105,217","119,842",,,,,
Bowdoin,Assoc,"113,680","106,405",,,,,
Carleton,Assoc,"107,210","104,637",,,,,
Claremont McKenna,Assoc,"128,042","43,918",,,,,
Colby,Assoc,"105,841","128,386",,,,,
Colgate,Assoc,"108,479","125,185",,,,,
Davidson,Assoc,"98,243","81,738",,,,,
Furman,Assoc,"82,983","92,360",,,,,
Grinnell,Assoc,"105,908","127,936",,,,,
Hamilton,Assoc,"108,150","134,647",,,,,
Haverford,Assoc,"101,031","29,905",,,,,
Macalester,Assoc,"95,133","96,465",,,,,
Middlebury,Assoc,"104,368","107,290",,,,,
Oberlin,Assoc,"94,994","116,748",,,,,
Pomona,Assoc,"120,016","41,166",,,,,
Swarthmore,Assoc,"111,489","97,665",,,,,
Vassar,Assoc,"111,493","108,706",,,,,
Washington and Lee,Assoc,"115,712","132,259",,,,,
Wesleyan,Assoc,"111,008","108,121",,,,,
Williams,Assoc,"106,040","105,085",,,,,
Amherst,Assist,"93,329","85,859",,,,,
Bates,Assist,"85,862","85,862",,,,,
Bowdoin,Assist,"91,352","85,506",,,,,
Carleton,Assist,"88,514","86,389",,,,,
Claremont McKenna,Assist,"108,670","37,274",,,,,
Colby,Assist,"88,084","106,846",,,,,
Colgate,Assist,"92,464","106,704",,,,,
Davidson,Assist,"79,877","66,458",,,,,
Furman,Assist,"70,364","78,315",,,,,
Grinnell,Assist,"87,727","105,974",,,,,
Hamilton,Assist,"88,383","110,037",,,,,
Haverford,Assist,"84,959","25,148",,,,,
Macalester,Assist,"79,775","80,892",,,,,
Middlebury,Assist,"90,234","92,761",,,,,
Oberlin,Assist,"72,109","88,623",,,,,
Pomona,Assist,"98,629","33,830",,,,,
Swarthmore,Assist,"87,690","76,816",,,,,
Vassar,Assist,"89,258","87,026",,,,,
Washington and Lee,Assist,"95,154","108,761",,,,,
Wesleyan,Assist,"91,207","88,836",,,,,
Williams,Assist,"93,837","92,993",,,,,